Hardware,Category,Workload,Location,Cost (₹),Performance,Renewable %,Power (W)
Corsair 128GB DDR5,RAM,Memory Intensive,Rajasthan,120000,50,85,10
Corsair 128GB DDR5,RAM,Memory Intensive,Gujarat,120000,50,85,10
Corsair 128GB DDR5,RAM,Memory Intensive,Telangana,120000,50,85,10
Corsair 128GB DDR5,RAM,Memory Intensive,Andhra Pradesh,120000,50,85,10
Corsair 128GB DDR5,RAM,Memory Intensive,Madhya Pradesh,120000,50,85,10
Corsair 128GB DDR5,RAM,Memory Intensive,Tamil Nadu,120000,50,80,10
Corsair 128GB DDR5,RAM,Memory Intensive,Karnataka,120000,50,80,10
Corsair 128GB DDR5,RAM,Memory Intensive,Maharashtra,120000,50,80,10
Corsair 128GB DDR5,RAM,Memory Intensive,Himachal Pradesh,120000,50,82,10
Corsair 128GB DDR5,RAM,Memory Intensive,Uttarakhand,120000,50,82,10
Corsair 128GB DDR5,RAM,Memory Intensive,Sikkim,120000,50,82,10
Corsair 128GB DDR5,RAM,Memory Intensive,Arunachal Pradesh,120000,50,82,10
Corsair 128GB DDR5,RAM,Memory Intensive,Kerala,120000,50,76,10
Corsair 128GB DDR5,RAM,Memory Intensive,West Bengal,120000,50,76,10
Corsair 128GB DDR5,RAM,Memory Intensive,Odisha,120000,50,76,10
Corsair 128GB DDR5,RAM,Memory Intensive,Delhi,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Bihar,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Jharkhand,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Punjab,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Haryana,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Chhattisgarh,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Assam,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Nagaland,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Manipur,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Meghalaya,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Mizoram,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Tripura,120000,50,68,10
Corsair 128GB DDR5,RAM,Memory Intensive,Goa,120000,50,68,10
